Row,Center Start,Center End,Sides Start,Sides End
A,101,112,1,14
B,101,115,1,16
C,101,116,1,18
D,101,117,1,18
E,101,118,1,18
F,101,119,1,20
G,101,120,1,20
H,101,121,1,14
J,101,109,0,0
K,102,118,0,0
L,101,122,1,14
M,101,123,1,16
N,101,124,1,16
P,101,123,1,16
Q,101,124,1,16
R,101,125,1,16
S,101,124,1,14
T,101,125,1,14
U,101,124,1,14
V,101,123,1,12
AA,101,140,0,0
BB,101,139,0,0
CC,101,116,1,20
DD,101,115,1,20
EE,101,116,1,20
FF,101,110,0,0
GG,101,123,1,16
HH,101,122,1,16
JJ,101,123,1,18
KK,101,122,1,18
LL,101,123,1,18
MM,101,122,1,18